Título,Nota,URL,Etiquetas,Comentario
,,,,
El Árabe,,https://www.google.com/maps/place/El+%C3%81rabe/data=!4m2!3m1!1s0x8e3f9a4232c1b81f:0xf6e0f1f729a9c83,,
M Cocina Árabe Bogotá,,https://www.google.com/maps/place/M+Cocina+%C3%81rabe+Bogot%C3%A1/data=!4m2!3m1!1s0x8e3f9a415de70adb:0xca18997a632ce585,,
Marrakesh Comida Marroquí Chapinero,,https://www.google.com/maps/place/Marrakesh+Comida+Marroqu%C3%AD+Chapinero/data=!4m2!3m1!1s0x8e3f9a46d9552277:0xc0787da0312e3fd,,
Arak Comida Árabe,,https://www.google.com/maps/place/Arak+Comida+%C3%81rabe/data=!4m2!3m1!1s0x8e3f9b8bab4d8973:0x5c091d3d20ffd69d,,
El Beduino,,https://www.google.com/maps/place/El+Beduino/data=!4m2!3m1!1s0x8e3f9ac9ab7b77d9:0x2428baa1f0530150,,
DELICIA LOS CEDROS,,https://www.google.com/maps/place/DELICIA+LOS+CEDROS/data=!4m2!3m1!1s0x8e3f9aaa54791455:0x9a159830c710fbf1,,
Salam Cedritos 140. Local 205 2° piso,,https://www.google.com/maps/place/Salam+Cedritos+140.+Local+205+2%C2%B0+piso/data=!4m2!3m1!1s0x8e3f85005eb2af53:0x896261103882e6d,,
Halal carnes y restaurante,,https://www.google.com/maps/place/Halal+carnes+y+restaurante/data=!4m2!3m1!1s0x8e3f9bb275d5e0eb:0x798a5b206991c29b,,
Bosforo,,https://www.google.com/maps/place/Bosforo/data=!4m2!3m1!1s0x8e3f9ab424ed40a7:0x596fbfa507a6b88b,,
Árabe Internacional Bogotá,,https://www.google.com/maps/place/%C3%81rabe+Internacional+Bogot%C3%A1/data=!4m2!3m1!1s0x8e3f9b593e901b47:0x3575d199a2181a43,,
Au Zaatar,,https://www.google.com/maps/place/Au+Zaatar/data=!4m2!3m1!1s0x8e3f9ba1cfe39697:0xe330e8aaa29640b2,,
BEIRUT,,https://www.google.com/maps/place/BEIRUT/data=!4m2!3m1!1s0x8e3f9aa79514e9af:0x18b54cee78132951,,
Turk House · NYC · - Bogotá Chicó,,https://www.google.com/maps/place/Turk+House+%C2%B7+NYC+%C2%B7+-+Bogot%C3%A1+Chic%C3%B3/data=!4m2!3m1!1s0x8e3f9bf1473e8cb1:0xac54f70ac22446e5,,
Gyros & Kebab,,https://www.google.com/maps/place/Gyros+%26+Kebab/data=!4m2!3m1!1s0x8e3f9a8ab068c603:0xbcb943aa4d608c54,,
El Libanés,,https://www.google.com/maps/place/El+Liban%C3%A9s/data=!4m2!3m1!1s0x8e3f9b3fc37ef749:0xdb31cb16e13f63e5,,
ALI BABA,,https://www.google.com/maps/place/ALI+BABA/data=!4m2!3m1!1s0x8e3f99a77dd64b1d:0x34b36fb180dff317,,
ALI BABA restaurante Árabe.,,https://www.google.com/maps/place/ALI+BABA+restaurante+%C3%81rabe./data=!4m2!3m1!1s0x8e3f990dd4260531:0x2a607eb8ab9fbf67,,
Khalifa restaurante,,https://www.google.com/maps/place/Khalifa+restaurante/data=!4m2!3m1!1s0x8e3f99986df82783:0x6c14af77f5682e31,,
El Khalifa,,https://www.google.com/maps/place/El+Khalifa/data=!4m2!3m1!1s0x8e3f99d91f8318d9:0xf4a998cf9fa0460e,,
Sahara Restaurante árabe y marroquí,,https://www.google.com/maps/place/Sahara+Restaurante+%C3%A1rabe+y+marroqu%C3%AD/data=!4m2!3m1!1s0x8e3f99f193496f1f:0xd182afb2db99d658,,
El Khalifa Shawarma | La Candelaria,,https://www.google.com/maps/place/El+Khalifa+Shawarma+%7C+La+Candelaria/data=!4m2!3m1!1s0x8e3f99a418b88847:0x84714e63b2af61e1,,
Shami restaurante,,https://www.google.com/maps/place/Shami+restaurante/data=!4m2!3m1!1s0x8e3f99f5bb7ee429:0x253755e01836e716,,
